Source,Target,Weight
5,47,1
5,86,1
5,306,1
5,331,1
5,334,1
5,414,1
5,503,1
5,519,1
5,688,1
5,690,1
5,774,1
8,31,1
8,37,1
8,193,1
8,235,1
8,365,1
8,430,1
8,433,1
8,539,1
8,630,1
8,648,1
8,694,1
8,732,1
9,128,1
9,196,1
9,229,1
9,388,1
9,404,1
9,430,1
9,574,1
9,663,1
9,664,1
9,694,1
9,704,1
9,716,1
28,29,1
28,107,1
28,110,1
28,528,1
28,529,1
28,550,1
28,657,1
28,674,1
28,754,1
28,756,1
28,796,1
29,107,1
29,110,1
29,312,1
29,521,1
29,528,1
29,529,1
29,657,1
29,674,1
29,709,1
29,754,1
29,756,1
30,37,1
30,229,1
30,231,1
30,306,1
30,367,1
30,419,1
30,497,1
30,498,1
30,671,1
30,716,1
30,726,1
30,772,1
31,37,1
31,257,1
31,365,1
31,430,1
31,433,1
31,498,1
31,648,1
31,692,1
31,697,1
31,704,1
31,736,1
37,147,1
37,257,1
37,334,1
37,365,1
37,430,1
37,433,1
37,498,1
37,648,1
43,419,1
43,796,1
47,86,1
47,129,1
47,204,1
47,312,1
47,331,1
47,503,1
47,559,1
47,709,1
47,719,1
47,774,1
48,277,1
48,334,1
51,86,1
51,157,1
51,301,1
51,327,1
51,328,1
51,521,1
51,522,1
51,574,1
51,697,1
51,698,1
51,700,1
51,703,1
66,96,1
66,277,1
66,295,1
66,366,1
66,466,1
66,472,1
66,528,1
66,630,1
66,709,1
66,731,1
66,732,1
66,742,1
66,811,1
67,147,1
67,193,1
67,234,1
67,331,1
67,392,1
67,490,1
67,513,1
67,688,1
67,742,1
67,746,1
67,749,1
67,758,1
71,86,1
71,129,1
71,331,1
71,388,1
71,414,1
71,418,1
71,519,1
71,690,1
71,709,1
71,716,1
71,719,1
71,774,1
77,156,1
77,234,1
77,465,1
77,466,1
77,473,1
77,626,1
77,698,1
77,704,1
77,721,1
77,731,1
77,732,1
77,756,1
77,811,1
86,128,1
86,164,1
86,204,1
86,414,1
86,503,1
86,519,1
86,690,1
96,140,1
96,277,1
96,295,1
96,301,1
96,366,1
96,433,1
96,466,1
96,472,1
96,503,1
96,630,1
96,731,1
107,108,1
107,110,1
107,157,1
107,466,1
107,528,1
107,529,1
107,657,1
107,674,1
107,754,1
107,756,1
108,630,1
110,288,1
110,327,1
110,528,1
110,529,1
110,657,1
110,674,1
110,703,1
110,754,1
110,756,1
128,196,1
128,257,1
128,288,1
128,327,1
128,388,1
128,404,1
128,490,1
128,574,1
128,650,1
128,663,1
128,664,1
128,718,1
129,204,1
129,414,1
129,503,1
129,509,1
129,690,1
129,709,1
129,726,1
129,742,1
129,774,1
140,164,1
140,367,1
140,414,1
140,490,1
140,522,1
140,545,1
140,587,1
140,651,1
140,688,1
140,742,1
140,768,1
147,234,1
147,255,1
147,392,1
147,415,1
147,457,1
147,463,1
147,490,1
147,497,1
147,648,1
147,651,1
147,749,1
147,1320,1
156,157,1
156,295,1
156,414,1
156,465,1
156,466,1
156,473,1
156,626,1
156,698,1
156,721,1
156,732,1
156,811,1
157,257,1
157,277,1
157,311,1
157,327,1
157,328,1
157,434,1
157,463,1
157,522,1
157,700,1
164,367,1
164,418,1
164,545,1
164,587,1
164,651,1
164,688,1
164,690,1
164,736,1
164,768,1
193,255,1
193,392,1
193,415,1
193,457,1
193,725,1
193,726,1
193,742,1
193,746,1
193,749,1
196,334,1
196,388,1
196,392,1
